【2022-09-04 19:08:36.933】【INFO】   DB_config 配置文件读取成功！
【2022-09-04 19:08:36.958】【INFO】   数据库连接成功！
【2022-09-04 19:08:36.993】【INFO】   t_code 表已存在！
【2022-09-04 19:08:36.993】【INFO】   t_HotMusic 表已存在！
【2022-09-04 19:08:36.993】【INFO】   t_user 表已存在！
【2022-09-04 19:08:36.993】【INFO】   t_LikeMusic 表已存在！
【2022-09-04 19:08:36.993】【INFO】   t_MusicQueue 表已存在！
【2022-09-04 19:08:36.994】【INFO】   t_room 表已存在！
【2022-09-04 19:08:36.994】【INFO】   t_musicBlackList 表已存在！
【2022-09-04 19:08:36.998】【INFO】   t_historyMsg 数据表创建成功！
【2022-09-04 19:09:00.716】【INFO】   DB_config 配置文件读取成功！
【2022-09-04 19:09:00.741】【INFO】   数据库连接成功！
【2022-09-04 19:09:00.773】【INFO】   t_room 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_user 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_code 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_HotMusic 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_MusicQueue 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_musicBlackList 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_LikeMusic 表已存在！
【2022-09-04 19:09:00.773】【INFO】   t_historyMsg 表已存在！
【2022-09-04 19:10:18.062】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:13:22.735】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:23:58.839】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:27:57.057】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:28:16.295】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:30:39.957】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:32:24.049】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:33:32.716】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:34:24.571】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:34:50.174】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:35:31.526】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:38:25.294】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:38:36.168】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:39:18.002】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
【2022-09-04 19:40:08.030】【ERROR】  数据库执行错误！(SELECT * FROM dbo.t_MusicQueue WHERE roomID = '888' AND already = 'false' ORDER BY updateTime) ==> RequestError: Invalid column name 'updateTime'.
